Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 11117, AvgReward(10): 9.49, ε=0.010
Frame 11212, AvgReward(10): 9.49, ε=0.010
Frame 11310, AvgReward(10): 9.49, ε=0.010
Frame 11398, AvgReward(10): 9.49, ε=0.010
Frame 11491, AvgReward(10): 9.48, ε=0.010
Frame 11589, AvgReward(10): 9.48, ε=0.010
Frame 11682, AvgReward(10): 9.48, ε=0.010
Frame 11771, AvgReward(10): 9.48, ε=0.010
Frame 11871, AvgReward(10): 9.48, ε=0.010
Frame 11965, AvgReward(10): 9.47, ε=0.010
Frame 12055, AvgReward(10): 9.46, ε=0.010
Frame 12148, AvgReward(10): 9.46, ε=0.010
Frame 12244, AvgReward(10): 9.47, ε=0.010
Frame 12340, AvgReward(10): 9.47, ε=0.010
Frame 12431, AvgReward(10): 9.47, ε=0.010
Frame 12524, AvgReward(10): 9.47, ε=0.010
Frame 12619, AvgReward(10): 9.47, ε=0.010
Frame 12718, AvgReward(10): 9.47, ε=0.010
Frame 12818, AvgReward(10): 9.47, ε=0.010
Frame 12916, AvgReward(10): 9.48, ε=0.010
Frame 13012, AvgReward(10): 9.48, ε=0.010
Frame 13102, AvgReward(10): 9.48, ε=0.010
Frame 13193, AvgReward(10): 9.47, ε=0.010
Frame 13284, AvgReward(10): 9.47, ε=0.010
Frame 13375, AvgReward(10): 9.47, ε=0.010
Frame 13472, AvgReward(10): 9.47, ε=0.010
Frame 13565, AvgReward(10): 9.45, ε=0.010
Frame 13661, AvgReward(10): 9.46, ε=0.010
Frame 13748, AvgReward(10): 9.45, ε=0.010
Frame 13845, AvgReward(10): 9.45, ε=0.010
Frame 13939, AvgReward(10): 9.46, ε=0.010
Frame 14031, AvgReward(10): 9.46, ε=0.010
Frame 14125, AvgReward(10): 9.46, ε=0.010
Frame 14218, AvgReward(10): 9.46, ε=0.010
Frame 14310, AvgReward(10): 9.46, ε=0.010
Frame 14404, AvgReward(10): 9.47, ε=0.010
Frame 14498, AvgReward(10): 9.47, ε=0.010
Frame 14586, AvgReward(10): 9.45, ε=0.010
Frame 14678, AvgReward(10): 9.45, ε=0.010
Frame 14774, AvgReward(10): 9.45, ε=0.010
Frame 14870, AvgReward(10): 9.46, ε=0.010
Frame 14963, AvgReward(10): 9.45, ε=0.010
Frame 15069, AvgReward(10): 9.47, ε=0.010
Frame 15164, AvgReward(10): 9.47, ε=0.010
Frame 15250, AvgReward(10): 9.47, ε=0.010
Frame 15343, AvgReward(10): 9.47, ε=0.010
Frame 15436, AvgReward(10): 9.46, ε=0.010
Frame 15525, AvgReward(10): 9.46, ε=0.010
Frame 15614, AvgReward(10): 9.45, ε=0.010
Frame 15709, AvgReward(10): 9.45, ε=0.010
Frame 15802, AvgReward(10): 9.46, ε=0.010
Frame 15896, AvgReward(10): 9.46, ε=0.010
Frame 15993, AvgReward(10): 9.46, ε=0.010
Frame 16088, AvgReward(10): 9.46, ε=0.010
Frame 16179, AvgReward(10): 9.46, ε=0.010
Frame 16276, AvgReward(10): 9.46, ε=0.010
Frame 16372, AvgReward(10): 9.47, ε=0.010
Frame 16464, AvgReward(10): 9.46, ε=0.010
Frame 16557, AvgReward(10): 9.44, ε=0.010
Frame 16649, AvgReward(10): 9.44, ε=0.010
Frame 16747, AvgReward(10): 9.45, ε=0.010
Frame 16844, AvgReward(10): 9.45, ε=0.010
Frame 16937, AvgReward(10): 9.45, ε=0.010
Frame 17033, AvgReward(10): 9.46, ε=0.010
Frame 17125, AvgReward(10): 9.45, ε=0.010
Frame 17223, AvgReward(10): 9.46, ε=0.010
Frame 17318, AvgReward(10): 9.46, ε=0.010
Frame 17408, AvgReward(10): 9.46, ε=0.010
