Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 11091, AvgReward(10): 9.51, ε=0.010
Frame 11186, AvgReward(10): 9.51, ε=0.010
Frame 11278, AvgReward(10): 9.50, ε=0.010
Frame 11374, AvgReward(10): 9.50, ε=0.010
Frame 11467, AvgReward(10): 9.50, ε=0.010
Frame 11558, AvgReward(10): 9.47, ε=0.010
Frame 11653, AvgReward(10): 9.47, ε=0.010
Frame 11753, AvgReward(10): 9.48, ε=0.010
Frame 11842, AvgReward(10): 9.47, ε=0.010
Frame 11933, AvgReward(10): 9.46, ε=0.010
Frame 12028, AvgReward(10): 9.46, ε=0.010
Frame 12122, AvgReward(10): 9.46, ε=0.010
Frame 12214, AvgReward(10): 9.46, ε=0.010
Frame 12304, AvgReward(10): 9.45, ε=0.010
Frame 12402, AvgReward(10): 9.46, ε=0.010
Frame 12497, AvgReward(10): 9.46, ε=0.010
Frame 12592, AvgReward(10): 9.43, ε=0.010
Frame 12680, AvgReward(10): 9.42, ε=0.010
Frame 12772, AvgReward(10): 9.42, ε=0.010
Frame 12862, AvgReward(10): 9.42, ε=0.010
Frame 12961, AvgReward(10): 9.43, ε=0.010
Frame 13057, AvgReward(10): 9.43, ε=0.010
Frame 13147, AvgReward(10): 9.42, ε=0.010
Frame 13244, AvgReward(10): 9.42, ε=0.010
Frame 13341, AvgReward(10): 9.43, ε=0.010
Frame 13436, AvgReward(10): 9.43, ε=0.010
Frame 13531, AvgReward(10): 9.43, ε=0.010
Frame 13624, AvgReward(10): 9.43, ε=0.010
Frame 13721, AvgReward(10): 9.43, ε=0.010
Frame 13815, AvgReward(10): 9.43, ε=0.010
Frame 13908, AvgReward(10): 9.43, ε=0.010
Frame 14005, AvgReward(10): 9.44, ε=0.010
Frame 14103, AvgReward(10): 9.45, ε=0.010
Frame 14194, AvgReward(10): 9.44, ε=0.010
Frame 14287, AvgReward(10): 9.45, ε=0.010
Frame 14380, AvgReward(10): 9.45, ε=0.010
Frame 14475, AvgReward(10): 9.45, ε=0.010
Frame 14564, AvgReward(10): 9.44, ε=0.010
Frame 14653, AvgReward(10): 9.43, ε=0.010
Frame 14746, AvgReward(10): 9.43, ε=0.010
