Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 11163, AvgReward(10): 9.49, ε=0.010
Frame 11257, AvgReward(10): 9.49, ε=0.010
Frame 11350, AvgReward(10): 9.49, ε=0.010
Frame 11446, AvgReward(10): 9.49, ε=0.010
Frame 11538, AvgReward(10): 9.48, ε=0.010
Frame 11629, AvgReward(10): 9.44, ε=0.010
Frame 11724, AvgReward(10): 9.44, ε=0.010
Frame 11821, AvgReward(10): 9.44, ε=0.010
Frame 11911, AvgReward(10): 9.44, ε=0.010
Frame 12002, AvgReward(10): 9.43, ε=0.010
Frame 12096, AvgReward(10): 9.43, ε=0.010
Frame 12190, AvgReward(10): 9.43, ε=0.010
Frame 12283, AvgReward(10): 9.43, ε=0.010
Frame 12375, AvgReward(10): 9.43, ε=0.010
Frame 12470, AvgReward(10): 9.43, ε=0.010
Frame 12565, AvgReward(10): 9.41, ε=0.010
Frame 12658, AvgReward(10): 9.41, ε=0.010
Frame 12746, AvgReward(10): 9.40, ε=0.010
Frame 12838, AvgReward(10): 9.40, ε=0.010
Frame 12928, AvgReward(10): 9.40, ε=0.010
Frame 13024, AvgReward(10): 9.40, ε=0.010
Frame 13118, AvgReward(10): 9.39, ε=0.010
Frame 13212, AvgReward(10): 9.39, ε=0.010
Frame 13309, AvgReward(10): 9.39, ε=0.010
Frame 13406, AvgReward(10): 9.40, ε=0.010
Frame 13501, AvgReward(10): 9.40, ε=0.010
Frame 13596, AvgReward(10): 9.40, ε=0.010
Frame 13688, AvgReward(10): 9.40, ε=0.010
Frame 13790, AvgReward(10): 9.41, ε=0.010
Frame 13883, AvgReward(10): 9.40, ε=0.010
Frame 13976, AvgReward(10): 9.40, ε=0.010
Frame 14073, AvgReward(10): 9.41, ε=0.010
Frame 14170, AvgReward(10): 9.42, ε=0.010
Frame 14264, AvgReward(10): 9.42, ε=0.010
Frame 14359, AvgReward(10): 9.43, ε=0.010
Frame 14454, AvgReward(10): 9.43, ε=0.010
Frame 14551, AvgReward(10): 9.42, ε=0.010
Frame 14647, AvgReward(10): 9.42, ε=0.010
Frame 14744, AvgReward(10): 9.42, ε=0.010
Frame 14837, AvgReward(10): 9.42, ε=0.010
Frame 14926, AvgReward(10): 9.42, ε=0.010
Frame 15024, AvgReward(10): 9.42, ε=0.010
Frame 15119, AvgReward(10): 9.42, ε=0.010
Frame 15212, AvgReward(10): 9.43, ε=0.010
Frame 15313, AvgReward(10): 9.44, ε=0.010
Frame 15407, AvgReward(10): 9.44, ε=0.010
Frame 15503, AvgReward(10): 9.44, ε=0.010
Frame 15600, AvgReward(10): 9.44, ε=0.010
Frame 15698, AvgReward(10): 9.44, ε=0.010
Frame 15793, AvgReward(10): 9.44, ε=0.010
Frame 15887, AvgReward(10): 9.44, ε=0.010
Frame 15985, AvgReward(10): 9.44, ε=0.010
Frame 16078, AvgReward(10): 9.44, ε=0.010
Frame 16173, AvgReward(10): 9.44, ε=0.010
Frame 16266, AvgReward(10): 9.44, ε=0.010
Frame 16357, AvgReward(10): 9.43, ε=0.010
Frame 16446, AvgReward(10): 9.43, ε=0.010
Frame 16541, AvgReward(10): 9.43, ε=0.010
Frame 16637, AvgReward(10): 9.43, ε=0.010
Frame 16735, AvgReward(10): 9.43, ε=0.010
Frame 16822, AvgReward(10): 9.43, ε=0.010
