Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 11166, AvgReward(10): 9.53, ε=0.010
Frame 11259, AvgReward(10): 9.53, ε=0.010
Frame 11356, AvgReward(10): 9.53, ε=0.010
Frame 11444, AvgReward(10): 9.52, ε=0.010
Frame 11538, AvgReward(10): 9.52, ε=0.010
Frame 11635, AvgReward(10): 9.50, ε=0.010
Frame 11728, AvgReward(10): 9.50, ε=0.010
Frame 11817, AvgReward(10): 9.50, ε=0.010
Frame 11916, AvgReward(10): 9.50, ε=0.010
Frame 12011, AvgReward(10): 9.50, ε=0.010
Frame 12100, AvgReward(10): 9.49, ε=0.010
Frame 12192, AvgReward(10): 9.49, ε=0.010
Frame 12288, AvgReward(10): 9.49, ε=0.010
Frame 12384, AvgReward(10): 9.49, ε=0.010
Frame 12475, AvgReward(10): 9.50, ε=0.010
Frame 12568, AvgReward(10): 9.48, ε=0.010
Frame 12662, AvgReward(10): 9.48, ε=0.010
Frame 12762, AvgReward(10): 9.49, ε=0.010
Frame 12860, AvgReward(10): 9.49, ε=0.010
Frame 12956, AvgReward(10): 9.50, ε=0.010
Frame 13058, AvgReward(10): 9.51, ε=0.010
Frame 13151, AvgReward(10): 9.50, ε=0.010
Frame 13242, AvgReward(10): 9.50, ε=0.010
Frame 13333, AvgReward(10): 9.49, ε=0.010
Frame 13425, AvgReward(10): 9.49, ε=0.010
Frame 13522, AvgReward(10): 9.50, ε=0.010
Frame 13614, AvgReward(10): 9.49, ε=0.010
Frame 13710, AvgReward(10): 9.49, ε=0.010
Frame 13799, AvgReward(10): 9.49, ε=0.010
Frame 13895, AvgReward(10): 9.49, ε=0.010
Frame 13991, AvgReward(10): 9.49, ε=0.010
Frame 14087, AvgReward(10): 9.49, ε=0.010
Frame 14180, AvgReward(10): 9.50, ε=0.010
Frame 14273, AvgReward(10): 9.50, ε=0.010
Frame 14365, AvgReward(10): 9.50, ε=0.010
Frame 14461, AvgReward(10): 9.50, ε=0.010
Frame 14556, AvgReward(10): 9.49, ε=0.010
Frame 14644, AvgReward(10): 9.48, ε=0.010
Frame 14739, AvgReward(10): 9.48, ε=0.010
Frame 14834, AvgReward(10): 9.48, ε=0.010
Frame 14930, AvgReward(10): 9.49, ε=0.010
Frame 15023, AvgReward(10): 9.48, ε=0.010
Frame 15131, AvgReward(10): 9.50, ε=0.010
Frame 15227, AvgReward(10): 9.50, ε=0.010
Frame 15315, AvgReward(10): 9.50, ε=0.010
Frame 15409, AvgReward(10): 9.51, ε=0.010
Frame 15501, AvgReward(10): 9.50, ε=0.010
Frame 15590, AvgReward(10): 9.50, ε=0.010
Frame 15679, AvgReward(10): 9.49, ε=0.010
Frame 15774, AvgReward(10): 9.49, ε=0.010
Frame 15866, AvgReward(10): 9.49, ε=0.010
Frame 15960, AvgReward(10): 9.50, ε=0.010
Frame 16058, AvgReward(10): 9.50, ε=0.010
Frame 16158, AvgReward(10): 9.50, ε=0.010
Frame 16249, AvgReward(10): 9.51, ε=0.010
Frame 16346, AvgReward(10): 9.51, ε=0.010
Frame 16442, AvgReward(10): 9.51, ε=0.010
Frame 16535, AvgReward(10): 9.51, ε=0.010
Frame 16628, AvgReward(10): 9.49, ε=0.010
Frame 16721, AvgReward(10): 9.48, ε=0.010
Frame 16818, AvgReward(10): 9.49, ε=0.010
Frame 16914, AvgReward(10): 9.49, ε=0.010
Frame 17007, AvgReward(10): 9.50, ε=0.010
Frame 17103, AvgReward(10): 9.50, ε=0.010
Frame 17195, AvgReward(10): 9.49, ε=0.010
Frame 17293, AvgReward(10): 9.50, ε=0.010
Frame 17390, AvgReward(10): 9.50, ε=0.010
Frame 17480, AvgReward(10): 9.50, ε=0.010
Frame 17579, AvgReward(10): 9.48, ε=0.010
Frame 17672, AvgReward(10): 9.48, ε=0.010
Frame 17763, AvgReward(10): 9.48, ε=0.010
Frame 17857, AvgReward(10): 9.48, ε=0.010
Frame 17944, AvgReward(10): 9.47, ε=0.010
Frame 18040, AvgReward(10): 9.48, ε=0.010
Frame 18135, AvgReward(10): 9.48, ε=0.010
Frame 18231, AvgReward(10): 9.49, ε=0.010
Frame 18329, AvgReward(10): 9.48, ε=0.010
Frame 18429, AvgReward(10): 9.49, ε=0.010
Frame 18523, AvgReward(10): 9.50, ε=0.010
Frame 18619, AvgReward(10): 9.49, ε=0.010
Frame 18714, AvgReward(10): 9.49, ε=0.010
Frame 18808, AvgReward(10): 9.49, ε=0.010
Frame 18906, AvgReward(10): 9.50, ε=0.010
Frame 19002, AvgReward(10): 9.50, ε=0.010
Frame 19096, AvgReward(10): 9.50, ε=0.010
Frame 19189, AvgReward(10): 9.50, ε=0.010
Frame 19285, AvgReward(10): 9.50, ε=0.010
Frame 19380, AvgReward(10): 9.50, ε=0.010
Frame 19471, AvgReward(10): 9.50, ε=0.010
Frame 19565, AvgReward(10): 9.47, ε=0.010
Frame 19660, AvgReward(10): 9.47, ε=0.010
Frame 19756, AvgReward(10): 9.47, ε=0.010
Frame 19848, AvgReward(10): 9.47, ε=0.010
Frame 19946, AvgReward(10): 9.47, ε=0.010
Training complete.
