Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 11048, AvgReward(10): 9.45, ε=0.010
Frame 11138, AvgReward(10): 9.44, ε=0.010
Frame 11230, AvgReward(10): 9.44, ε=0.010
Frame 11324, AvgReward(10): 9.44, ε=0.010
Frame 11420, AvgReward(10): 9.43, ε=0.010
Frame 11511, AvgReward(10): 9.40, ε=0.010
Frame 11606, AvgReward(10): 9.40, ε=0.010
Frame 11704, AvgReward(10): 9.41, ε=0.010
Frame 11793, AvgReward(10): 9.40, ε=0.010
Frame 11884, AvgReward(10): 9.40, ε=0.010
Frame 11977, AvgReward(10): 9.39, ε=0.010
Frame 12070, AvgReward(10): 9.39, ε=0.010
Frame 12164, AvgReward(10): 9.39, ε=0.010
Frame 12254, AvgReward(10): 9.38, ε=0.010
Frame 12349, AvgReward(10): 9.39, ε=0.010
Frame 12444, AvgReward(10): 9.39, ε=0.010
Frame 12538, AvgReward(10): 9.38, ε=0.010
Frame 12626, AvgReward(10): 9.37, ε=0.010
Frame 12718, AvgReward(10): 9.37, ε=0.010
Frame 12807, AvgReward(10): 9.37, ε=0.010
Frame 12903, AvgReward(10): 9.37, ε=0.010
Frame 12998, AvgReward(10): 9.37, ε=0.010
Frame 13090, AvgReward(10): 9.37, ε=0.010
Frame 13185, AvgReward(10): 9.36, ε=0.010
Frame 13278, AvgReward(10): 9.36, ε=0.010
Frame 13371, AvgReward(10): 9.36, ε=0.010
Frame 13467, AvgReward(10): 9.36, ε=0.010
Frame 13556, AvgReward(10): 9.36, ε=0.010
Frame 13654, AvgReward(10): 9.36, ε=0.010
Frame 13747, AvgReward(10): 9.36, ε=0.010
Frame 13839, AvgReward(10): 9.36, ε=0.010
Frame 13937, AvgReward(10): 9.37, ε=0.010
Frame 14034, AvgReward(10): 9.38, ε=0.010
Frame 14127, AvgReward(10): 9.38, ε=0.010
Frame 14220, AvgReward(10): 9.38, ε=0.010
Frame 14313, AvgReward(10): 9.38, ε=0.010
Frame 14405, AvgReward(10): 9.38, ε=0.010
Frame 14499, AvgReward(10): 9.38, ε=0.010
