Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 267, AvgReward(10): 0.27, ε=0.758
Frame 421, AvgReward(10): 0.42, ε=0.560
Frame 549, AvgReward(10): 0.55, ε=0.436
Frame 674, AvgReward(10): 0.67, ε=0.342
Frame 784, AvgReward(10): 0.78, ε=0.276
Frame 883, AvgReward(10): 0.88, ε=0.228
Frame 990, AvgReward(10): 0.99, ε=0.186
Frame 1088, AvgReward(10): 1.09, ε=0.155
Frame 1195, AvgReward(10): 1.20, ε=0.127
Frame 1290, AvgReward(10): 1.29, ε=0.107
Frame 1393, AvgReward(10): 1.39, ε=0.089
Frame 1486, AvgReward(10): 1.49, ε=0.075
Frame 1580, AvgReward(10): 1.58, ε=0.064
Frame 1674, AvgReward(10): 1.67, ε=0.055
Frame 1769, AvgReward(10): 1.77, ε=0.047
Frame 1863, AvgReward(10): 1.86, ε=0.041
Frame 1960, AvgReward(10): 1.96, ε=0.035
Frame 2058, AvgReward(10): 2.06, ε=0.031
Frame 2165, AvgReward(10): 2.17, ε=0.027
Frame 2273, AvgReward(10): 2.27, ε=0.024
Frame 2363, AvgReward(10): 2.36, ε=0.021
Frame 2459, AvgReward(10): 2.46, ε=0.019
Frame 2555, AvgReward(10): 2.56, ε=0.018
Frame 2653, AvgReward(10): 2.65, ε=0.016
Frame 2749, AvgReward(10): 2.75, ε=0.015
Frame 2842, AvgReward(10): 2.84, ε=0.014
Frame 2936, AvgReward(10): 2.94, ε=0.014
Frame 3024, AvgReward(10): 3.02, ε=0.013
Frame 3119, AvgReward(10): 3.12, ε=0.012
Frame 3215, AvgReward(10): 3.21, ε=0.012
Frame 3311, AvgReward(10): 3.31, ε=0.012
Frame 3408, AvgReward(10): 3.41, ε=0.011
Frame 3499, AvgReward(10): 3.50, ε=0.011
Frame 3591, AvgReward(10): 3.59, ε=0.011
Frame 3688, AvgReward(10): 3.69, ε=0.011
Frame 3784, AvgReward(10): 3.78, ε=0.011
Frame 3881, AvgReward(10): 3.88, ε=0.011
Frame 3974, AvgReward(10): 3.97, ε=0.010
Frame 4068, AvgReward(10): 4.07, ε=0.010
Frame 4166, AvgReward(10): 4.17, ε=0.010
Frame 4258, AvgReward(10): 4.26, ε=0.010
Frame 4351, AvgReward(10): 4.35, ε=0.010
Frame 4445, AvgReward(10): 4.45, ε=0.010
Frame 4538, AvgReward(10): 4.54, ε=0.010
Frame 4628, AvgReward(10): 4.63, ε=0.010
Frame 4716, AvgReward(10): 4.72, ε=0.010
Frame 4809, AvgReward(10): 4.81, ε=0.010
Frame 4900, AvgReward(10): 4.90, ε=0.010
Frame 4990, AvgReward(10): 4.99, ε=0.010
Frame 5085, AvgReward(10): 5.08, ε=0.010
Frame 5190, AvgReward(10): 5.19, ε=0.010
Frame 5281, AvgReward(10): 5.28, ε=0.010
Frame 5373, AvgReward(10): 5.37, ε=0.010
Frame 5467, AvgReward(10): 5.47, ε=0.010
Frame 5564, AvgReward(10): 5.56, ε=0.010
Frame 5656, AvgReward(10): 5.66, ε=0.010
Frame 5747, AvgReward(10): 5.75, ε=0.010
Frame 5838, AvgReward(10): 5.84, ε=0.010
Frame 5929, AvgReward(10): 5.93, ε=0.010
Frame 6024, AvgReward(10): 6.02, ε=0.010
Frame 6118, AvgReward(10): 6.12, ε=0.010
Frame 6222, AvgReward(10): 6.22, ε=0.010
Frame 6317, AvgReward(10): 6.32, ε=0.010
Frame 6405, AvgReward(10): 6.41, ε=0.010
Frame 6496, AvgReward(10): 6.50, ε=0.010
Frame 6593, AvgReward(10): 6.59, ε=0.010
Frame 6689, AvgReward(10): 6.69, ε=0.010
Frame 6777, AvgReward(10): 6.78, ε=0.010
Frame 6869, AvgReward(10): 6.87, ε=0.010
Frame 6962, AvgReward(10): 6.96, ε=0.010
Frame 7056, AvgReward(10): 7.06, ε=0.010
Frame 7173, AvgReward(10): 7.17, ε=0.010
Frame 7267, AvgReward(10): 7.27, ε=0.010
Frame 7363, AvgReward(10): 7.36, ε=0.010
Frame 7462, AvgReward(10): 7.46, ε=0.010
Frame 7561, AvgReward(10): 7.56, ε=0.010
Frame 7657, AvgReward(10): 7.66, ε=0.010
Frame 7752, AvgReward(10): 7.75, ε=0.010
Frame 7848, AvgReward(10): 7.85, ε=0.010
Frame 7944, AvgReward(10): 7.94, ε=0.010
